model,clean_direct_auroc,clean_direct_auprc,clean_vae_noaug_auroc,clean_vae_noaug_auprc,clean_vae_augmix_auroc,clean_vae_augmix_auprc,clean_vae_noaug_minus_direct_auroc_pp,clean_vae_noaug_minus_direct_auprc_pp,clean_vae_augmix_minus_direct_auroc_pp,clean_vae_augmix_minus_direct_auprc_pp,clean_augmix_minus_noaug_auroc_pp,clean_augmix_minus_noaug_auprc_pp,pn2021c_direct_auroc,pn2021c_direct_auprc,pn2021c_vae_noaug_auroc,pn2021c_vae_noaug_auprc,pn2021c_vae_augmix_auroc,pn2021c_vae_augmix_auprc,pn2021c_vae_noaug_minus_direct_auroc_pp,pn2021c_vae_noaug_minus_direct_auprc_pp,pn2021c_vae_augmix_minus_direct_auroc_pp,pn2021c_vae_augmix_minus_direct_auprc_pp,pn2021c_augmix_minus_noaug_auroc_pp,pn2021c_augmix_minus_noaug_auprc_pp
EfficientNet1DV2,0.8521485637496153,0.5246580048807099,0.8700174358388809,0.5573714992354686,0.871207777844847,0.5548570186287901,1.7868872089265575,3.2713494354758677,1.9059214095231702,3.0199013748080206,0.11903420059661274,-0.2514480606678471,0.8420166859892714,0.5099235280790408,0.8583274617489735,0.5394394115401118,0.8596892284953164,0.5369897333804503,1.6310775759702079,2.9515883461070924,1.7672542506044997,2.7066205301409463,0.13617667463429184,-0.24496781596614614
ECGFounder,0.8972540474254066,0.6325394517246316,0.9031170971757452,0.6469742555889301,0.9036716887003583,0.6455120705585219,0.5863049750338578,1.4434803864298518,0.6417641274951702,1.2972618833890337,0.05545915246131239,-0.14621850304081807,0.8900406033196432,0.6165346092795897,0.8969051638284005,0.6314390725389827,0.8995312831569495,0.637370708542374,0.6864560508757278,1.4904463259392986,0.9490679837306337,2.083609926278429,0.2626119328549059,0.5931636003391305
ResNet1D-Wang,0.856687974989774,0.53360569036466,0.8667108727007715,0.5532252078748457,0.8654788731851031,0.5532460892648191,1.0022897710997514,1.9619517510185758,0.8790898195329078,1.9640398900159117,-0.1231999515668436,0.002088138997335953,0.8412363249071374,0.5098603981018961,0.8487543407979603,0.5256565063145685,0.8483489815235579,0.5267381130269272,0.7518015890822904,1.579610821267241,0.7112656616420465,1.6877714925031095,-0.040535927440243924,0.10816067123586848
Inception1D,0.8667032369575672,0.5570145150121804,0.8728125037455365,0.5692047996537218,0.8728526180907505,0.5694281234646008,0.6109266787969303,1.2190284641541482,0.6149381133183307,1.2413608452420455,0.004011434521400403,0.022332381087897257,0.8513586801487871,0.5332860896710828,0.8558485849384161,0.5425660820415057,0.8561515262546844,0.5431057918253908,0.44899047896289623,0.9279992370422874,0.47928461058972527,0.9819702154307941,0.030294131626829035,0.05397097838850673
FCN-Wang,0.8480116747417238,0.5184746115967468,0.8529076124718603,0.5293863045731214,0.8534057767148339,0.5296587730597906,0.48959377301365237,1.091169297637462,0.5394101973110077,1.1184161463043796,0.04981642429735533,0.02724684866691751,0.8307422452117694,0.4938928218116716,0.8339328542142587,0.5014875679075299,0.8346369944236736,0.5020345836133262,0.3190609002489242,0.7594746095858307,0.3894749211904136,0.8141761801654601,0.07041402094148941,0.05470157057962943
